[2020-07-16T18:26:42+0200] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2020-07-16T18:26:54+0200] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region1; SC_WORLD_LOADED; game type VIEW_LEGENDS (2)
[2020-07-16T18:27:55+0200] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2020-07-16T18:30:16+0200] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-07-16T18:31:11+0200] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-07-16T19:16:43+0200] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-07-16T19:19:06+0200] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2020-07-23T12:38:56+0200] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-07-23T12:40:21+0200] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-07-23T12:41:22+0200] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-07-23T12:41:33+0200] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2020-07-26T12:16:24+0200] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-07-26T12:17:40+0200] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-07-26T12:26:22+0200] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-07-26T12:26:40+0200] DFHack 0.47.04-r1-0-g6bdbf5b0 on Windows; cwd md5: 6237387c78; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
